target,lag,pair
target_0,1,LME_COPPER_CLOSE
target_1,1,LME_COPPER_VOLUME
target_2,1,LME_ALUMINUM_CLOSE
target_3,1,LME_ALUMINUM_VOLUME
target_4,1,LME_ZINC_CLOSE
target_5,1,LME_ZINC_VOLUME
target_6,1,LME_LEAD_CLOSE
target_7,1,LME_LEAD_VOLUME
target_8,1,LME_NICKEL_CLOSE
target_9,1,LME_NICKEL_VOLUME
target_10,1,LME_COPPER_CLOSE
target_11,1,LME_COPPER_VOLUME
target_12,1,LME_ALUMINUM_CLOSE
target_13,1,LME_ALUMINUM_VOLUME
target_14,1,LME_ZINC_CLOSE
target_15,1,LME_ZINC_VOLUME
target_16,1,LME_LEAD_CLOSE
target_17,1,LME_LEAD_VOLUME
target_18,1,LME_NICKEL_CLOSE
target_19,1,LME_NICKEL_VOLUME
target_20,1,LME_COPPER_CLOSE
target_21,1,LME_COPPER_VOLUME
target_22,1,LME_ALUMINUM_CLOSE
target_23,1,LME_ALUMINUM_VOLUME
target_24,1,LME_ZINC_CLOSE
target_25,1,LME_COPPER_CLOSE-LME_ZINC_VOLUME
target_26,1,LME_COPPER_VOLUME-LME_LEAD_CLOSE
target_27,1,LME_ALUMINUM_CLOSE-LME_LEAD_VOLUME
target_28,1,LME_ALUMINUM_VOLUME-LME_NICKEL_CLOSE
target_29,1,LME_ZINC_CLOSE-LME_NICKEL_VOLUME
target_30,1,LME_COPPER_CLOSE-LME_ZINC_VOLUME
target_31,1,LME_COPPER_VOLUME-LME_LEAD_CLOSE
target_32,1,LME_ALUMINUM_CLOSE-LME_LEAD_VOLUME
target_33,1,LME_ALUMINUM_VOLUME-LME_NICKEL_CLOSE
target_34,1,LME_ZINC_CLOSE-LME_NICKEL_VOLUME
target_35,1,LME_COPPER_CLOSE-LME_ZINC_VOLUME
target_36,1,LME_COPPER_VOLUME-LME_LEAD_CLOSE
target_37,1,LME_ALUMINUM_CLOSE-LME_LEAD_VOLUME
target_38,1,LME_ALUMINUM_VOLUME-LME_NICKEL_CLOSE
target_39,1,LME_ZINC_CLOSE-LME_NICKEL_VOLUME
target_40,1,LME_COPPER_CLOSE-LME_ZINC_VOLUME
target_41,1,LME_COPPER_VOLUME-LME_LEAD_CLOSE
target_42,1,LME_ALUMINUM_CLOSE-LME_LEAD_VOLUME
target_43,1,LME_ALUMINUM_VOLUME-LME_NICKEL_CLOSE
target_44,1,LME_ZINC_CLOSE-LME_NICKEL_VOLUME
target_45,1,LME_COPPER_CLOSE-LME_ZINC_VOLUME
target_46,1,LME_COPPER_VOLUME-LME_LEAD_CLOSE
target_47,1,LME_ALUMINUM_CLOSE-LME_LEAD_VOLUME
target_48,1,LME_ALUMINUM_VOLUME-LME_NICKEL_CLOSE
target_49,1,LME_ZINC_CLOSE-LME_NICKEL_VOLUME
